tripid,hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,dayType,mainmode,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group,hhpoststratweight,trippoststratweight
Y24H5790538P01T06,Y24H5790538,Y24H5790538P01,9,565,9,590,25,37.11085,Recreational,Weekday,Private,1.0,Brimbank (C),3.0,3.0,475.2084454,789.017180435
Y24H5790538P01T07,Y24H5790538,Y24H5790538P01,9,590,10,601,11,7.77818,Recreational,Weekday,Private,1.0,Brimbank (C),3.0,3.0,475.2084454,789.017180435
Y24H5790538P01T08,Y24H5790538,Y24H5790538P01,10,625,10,658,33,30.44941,Recreational,Weekday,Private,1.0,Brimbank (C),3.0,3.0,475.2084454,789.017180435
Y24H5790541P01T01,Y24H5790541,Y24H5790541P01,9,590,9,594,4,1.65416,Recreational,Weekend,Private,1.0,Brimbank (C),6.0,6.0,485.8555053,514.185860767
Y24H5790541P01T02,Y24H5790541,Y24H5790541P01,9,595,9,596,1,0.04292,Recreational,Weekend,Active,1.0,Brimbank (C),6.0,6.0,485.8555053,514.185860767
Y24H5790541P01T03,Y24H5790541,Y24H5790541P01,10,652,10,657,5,1.6966,Recreational,Weekend,Private,1.0,Brimbank (C),6.0,6.0,485.8555053,514.185860767
Y24H5790542P01T01,Y24H5790542,Y24H5790542P01,13,805,13,820,15,5.84201,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,863.50956201
Y24H5790542P01T02,Y24H5790542,Y24H5790542P01,15,915,15,930,15,5.84201,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,863.50956201
Y24H5790542P03T01,Y24H5790542,Y24H5790542P03,11,690,11,700,10,3.06654,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,559.204452448
Y24H5790542P03T02,Y24H5790542,Y24H5790542P03,11,710,12,720,10,3.06654,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,559.204452448
Y24H5790542P03T03,Y24H5790542,Y24H5790542P03,13,805,13,820,15,5.84201,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,559.204452448
Y24H5790542P03T04,Y24H5790542,Y24H5790542P03,15,915,15,930,15,5.84201,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,559.204452448
Y24H5790542P03T05,Y24H5790542,Y24H5790542P03,17,1025,17,1035,10,2.45599,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,559.204452448
Y24H5790542P03T06,Y24H5790542,Y24H5790542P03,17,1065,17,1075,10,2.45599,Recreational,Weekend,Private,3.0,Brimbank (C),10.0,10.0,575.8686648,559.204452448
Y24H5800202P01T01,Y24H5800202,Y24H5800202P01,7,427,7,461,34,15.58347,Work,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,568.831459183
Y24H5800202P01T02,Y24H5800202,Y24H5800202P01,14,894,15,932,38,15.58347,Work,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,568.831459183
Y24H5800202P04T01,Y24H5800202,Y24H5800202P04,9,567,10,602,35,15.53562,Work,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,822.786940375
Y24H5800202P04T02,Y24H5800202,Y24H5800202P04,11,682,11,705,23,18.48088,Education,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,822.786940375
Y24H5800202P04T03,Y24H5800202,Y24H5800202P04,16,992,16,1001,9,3.07861,Education,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,822.786940375
Y24H5800202P04T04,Y24H5800202,Y24H5800202P04,18,1080,18,1123,43,13.44482,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,822.786940375
Y24H5800202P04T05,Y24H5800202,Y24H5800202P04,23,1408,23,1434,26,16.96179,Work,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,822.786940375
Y24H5800202P04T06,Y24H5800202,Y24H5800202P04,24,1440,24,1447,7,4.52641,Work,Weekday,Private,2.0,Boroondara (C),14.0,14.0,601.7022342,822.786940375
Y24H5800205P01T01,Y24H5800205,Y24H5800205P01,12,760,13,810,50,65.81113,Recreational,Weekday,Private,0.0,Boroondara (C),7.0,7.0,582.0447985,338.132008349
Y24H5800205P01T02,Y24H5800205,Y24H5800205P01,13,815,14,840,25,22.03376,Recreational,Weekday,Private,0.0,Boroondara (C),7.0,7.0,582.0447985,338.132008349
Y24H5800205P01T03,Y24H5800205,Y24H5800205P01,14,880,18,1095,215,185.20874,Work,Weekday,Private,0.0,Boroondara (C),7.0,7.0,582.0447985,338.132008349
Y24H5800205P02T01,Y24H5800205,Y24H5800205P02,12,760,13,810,50,65.81104,Recreational,Weekday,Private,0.0,Boroondara (C),7.0,7.0,582.0447985,598.100100167
Y24H5800205P02T02,Y24H5800205,Y24H5800205P02,13,815,14,840,25,22.03364,Recreational,Weekday,Private,0.0,Boroondara (C),7.0,7.0,582.0447985,598.100100167
Y24H5800205P02T03,Y24H5800205,Y24H5800205P02,14,880,18,1095,215,185.20874,Work,Weekday,Private,0.0,Boroondara (C),7.0,7.0,582.0447985,598.100100167
Y24H5800207P01T01,Y24H5800207,Y24H5800207P01,13,810,13,820,10,4.4579,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,614.162011193
Y24H5800207P01T02,Y24H5800207,Y24H5800207P01,14,870,14,880,10,4.4579,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,614.162011193
Y24H5800207P01T03,Y24H5800207,Y24H5800207P01,16,985,16,990,5,3.2353,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,614.162011193
Y24H5800207P01T04,Y24H5800207,Y24H5800207P01,16,1005,16,1010,5,3.2353,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,614.162011193
Y24H5800207P02T01,Y24H5800207,Y24H5800207P02,13,810,13,820,10,4.4579,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,874.147925884
Y24H5800207P02T02,Y24H5800207,Y24H5800207P02,14,870,14,880,10,4.4579,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,874.147925884
Y24H5800207P02T03,Y24H5800207,Y24H5800207P02,16,985,16,990,5,3.2353,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,874.147925884
Y24H5800207P02T04,Y24H5800207,Y24H5800207P02,16,1005,16,1010,5,3.2353,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,874.147925884
Y24H5800207P02T05,Y24H5800207,Y24H5800207P02,17,1050,18,1080,30,1.63818,Work,Weekend,Active,2.0,Boroondara (C),18.0,18.0,659.5134328,874.147925884
Y24H5800207P02T06,Y24H5800207,Y24H5800207P02,18,1080,18,1110,30,1.63818,Work,Weekend,Active,2.0,Boroondara (C),18.0,18.0,659.5134328,874.147925884
Y24H5800207P03T01,Y24H5800207,Y24H5800207P03,13,810,13,820,10,4.4579,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,713.285336617
Y24H5800207P03T02,Y24H5800207,Y24H5800207P03,14,870,14,880,10,4.4579,Recreational,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,713.285336617
Y24H5800207P04T01,Y24H5800207,Y24H5800207P04,14,870,16,990,120,123.30053,Education,Weekend,Public,2.0,Boroondara (C),18.0,18.0,659.5134328,2147.500265122
Y24H5800207P04T02,Y24H5800207,Y24H5800207P04,16,1005,16,1010,5,3.23282,Education,Weekend,Private,2.0,Boroondara (C),18.0,18.0,659.5134328,2147.500265122
Y24H5800209P01T01,Y24H5800209,Y24H5800209P01,18,1080,18,1090,10,5.21981,Recreational,Weekday,Private,0.0,Boroondara (C),6.0,6.0,737.8283241,445.877864108
Y24H5800209P01T02,Y24H5800209,Y24H5800209P01,20,1230,20,1240,10,5.21981,Work,Weekday,Private,0.0,Boroondara (C),6.0,6.0,737.8283241,445.877864108
Y24H5800210P01T01,Y24H5800210,Y24H5800210P01,8,521,9,540,19,6.22093,Recreational,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T02,Y24H5800210,Y24H5800210P01,9,551,9,567,16,5.79051,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T03,Y24H5800210,Y24H5800210P01,10,621,10,656,35,14.73623,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T04,Y24H5800210,Y24H5800210P01,11,714,12,721,7,2.07922,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T05,Y24H5800210,Y24H5800210P01,12,740,12,747,7,1.2286,Recreational,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T06,Y24H5800210,Y24H5800210P01,12,767,13,804,37,16.73996,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T07,Y24H5800210,Y24H5800210P01,14,842,14,852,10,6.00662,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T08,Y24H5800210,Y24H5800210P01,15,929,15,939,10,3.95729,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T09,Y24H5800210,Y24H5800210P01,15,939,15,941,2,0.84178,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T10,Y24H5800210,Y24H5800210P01,15,956,15,959,3,0.11766,Recreational,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P01T11,Y24H5800210,Y24H5800210P01,16,975,16,978,3,0.80836,Recreational,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,494.00000906
Y24H5800210P02T01,Y24H5800210,Y24H5800210P02,8,510,8,513,3,0.83785,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,793.121040398
Y24H5800210P02T02,Y24H5800210,Y24H5800210P02,10,640,10,642,2,0.17148,Recreational,Weekday,Active,2.0,Boroondara (C),17.0,17.0,604.8783416,793.121040398
Y24H5800210P02T03,Y24H5800210,Y24H5800210P02,10,651,10,652,1,0.10711,Recreational,Weekday,Active,2.0,Boroondara (C),17.0,17.0,604.8783416,793.121040398
Y24H5800210P02T04,Y24H5800210,Y24H5800210P02,10,657,10,658,1,0.07702,Work,Weekday,Active,2.0,Boroondara (C),17.0,17.0,604.8783416,793.121040398
Y24H5800210P02T05,Y24H5800210,Y24H5800210P02,15,930,15,955,25,7.16288,Recreational,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,793.121040398
Y24H5800210P02T06,Y24H5800210,Y24H5800210P02,16,972,16,987,15,8.11297,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,793.121040398
Y24H5800210P02T07,Y24H5800210,Y24H5800210P02,17,1023,17,1027,4,1.81301,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,793.121040398
Y24H5800210P04T01,Y24H5800210,Y24H5800210P04,11,716,12,748,32,7.14611,Education,Weekday,Public,2.0,Boroondara (C),17.0,17.0,604.8783416,766.833622055
Y24H5800210P04T02,Y24H5800210,Y24H5800210P04,16,972,16,987,15,8.10994,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,766.833622055
Y24H5800210P04T03,Y24H5800210,Y24H5800210P04,17,1023,17,1027,4,1.81301,Work,Weekday,Private,2.0,Boroondara (C),17.0,17.0,604.8783416,766.833622055
Y24H5800211P01T01,Y24H5800211,Y24H5800211P01,7,443,7,459,16,11.48388,Work,Weekday,Private,1.0,Boroondara (C),6.0,6.0,651.8847059,442.268683392
Y24H5800211P01T02,Y24H5800211,Y24H5800211P01,8,493,9,547,54,27.23923,Work,Weekday,Private,1.0,Boroondara (C),6.0,6.0,651.8847059,442.268683392
Y24H5800211P01T03,Y24H5800211,Y24H5800211P01,16,999,17,1027,28,15.76734,Work,Weekday,Private,1.0,Boroondara (C),6.0,6.0,651.8847059,442.268683392
Y24H5800211P01T04,Y24H5800211,Y24H5800211P01,18,1116,18,1136,20,6.12591,Recreational,Weekday,Private,1.0,Boroondara (C),6.0,6.0,651.8847059,442.268683392
Y24H5800211P01T05,Y24H5800211,Y24H5800211P01,21,1296,21,1311,15,6.12591,Recreational,Weekday,Private,1.0,Boroondara (C),6.0,6.0,651.8847059,442.268683392
Y24H5800215P01T01,Y24H5800215,Y24H5800215P01,7,420,7,470,50,15.97379,Work,Weekday,Public,2.0,Boroondara (C),14.0,14.0,729.3529718,689.50868317
Y24H5800215P01T02,Y24H5800215,Y24H5800215P01,18,1080,18,1127,47,15.97389,Work,Weekday,Public,2.0,Boroondara (C),14.0,14.0,729.3529718,689.50868317
Y24H5800215P02T01,Y24H5800215,Y24H5800215P02,7,465,8,480,15,7.04778,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,966.716302945
Y24H5800215P02T02,Y24H5800215,Y24H5800215P02,8,480,8,485,5,0.67752,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,966.716302945
Y24H5800215P02T03,Y24H5800215,Y24H5800215P02,8,525,9,540,15,7.11949,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,966.716302945
Y24H5800215P02T04,Y24H5800215,Y24H5800215P02,10,600,10,602,2,0.6815,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,966.716302945
Y24H5800215P02T05,Y24H5800215,Y24H5800215P02,15,923,15,935,12,6.45549,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,966.716302945
Y24H5800215P02T06,Y24H5800215,Y24H5800215P02,15,935,15,949,14,6.45549,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,966.716302945
Y24H5800215P03T01,Y24H5800215,Y24H5800215P03,7,465,8,480,15,7.04778,Education,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,1174.594971544
Y24H5800215P03T02,Y24H5800215,Y24H5800215P03,15,911,16,960,49,7.66621,Education,Weekday,Public,2.0,Boroondara (C),14.0,14.0,729.3529718,1174.594971544
Y24H5800215P04T01,Y24H5800215,Y24H5800215P04,7,465,8,480,15,7.04778,Education,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,688.992253057
Y24H5800215P04T02,Y24H5800215,Y24H5800215P04,15,950,16,960,10,3.15559,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,688.992253057
Y24H5800215P04T03,Y24H5800215,Y24H5800215P04,17,1038,17,1050,12,4.79296,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,688.992253057
Y24H5800215P05T01,Y24H5800215,Y24H5800215P05,7,465,8,480,15,7.04778,Recreational,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,700.373607233
Y24H5800215P05T02,Y24H5800215,Y24H5800215P05,8,480,8,485,5,0.67752,Education,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,700.373607233
Y24H5800215P05T03,Y24H5800215,Y24H5800215P05,15,935,15,949,14,6.45549,Education,Weekday,Private,2.0,Boroondara (C),14.0,14.0,729.3529718,700.373607233
Y24H5800216P01T01,Y24H5800216,Y24H5800216P01,6,381,7,425,44,15.96159,Work,Weekday,Public,2.0,Boroondara (C),18.0,18.0,752.475813,460.906391644
Y24H5800216P01T02,Y24H5800216,Y24H5800216P01,17,1050,18,1094,44,15.96159,Work,Weekday,Public,2.0,Boroondara (C),18.0,18.0,752.475813,460.906391644
Y24H5800216P02T01,Y24H5800216,Y24H5800216P02,8,500,8,510,10,2.8033,Work,Weekday,Private,2.0,Boroondara (C),18.0,18.0,752.475813,600.149650547
Y24H5800216P02T02,Y24H5800216,Y24H5800216P02,9,540,9,550,10,2.80339,Work,Weekday,Private,2.0,Boroondara (C),18.0,18.0,752.475813,600.149650547
Y24H5800216P02T03,Y24H5800216,Y24H5800216P02,12,740,12,750,10,2.32424,Work,Weekday,Private,2.0,Boroondara (C),18.0,18.0,752.475813,600.149650547
Y24H5800216P02T04,Y24H5800216,Y24H5800216P02,13,780,13,790,10,2.32424,Work,Weekday,Private,2.0,Boroondara (C),18.0,18.0,752.475813,600.149650547
Y24H5800216P03T01,Y24H5800216,Y24H5800216P03,6,410,7,420,10,1.08656,Work,Weekday,Active,2.0,Boroondara (C),18.0,18.0,752.475813,744.756901122
Y24H5800216P03T02,Y24H5800216,Y24H5800216P03,15,945,16,960,15,1.08656,Work,Weekday,Active,2.0,Boroondara (C),18.0,18.0,752.475813,744.756901122
Y24H5800217P01T01,Y24H5800217,Y24H5800217P01,8,489,9,550,61,14.15597,Work,Weekday,Public,4.0,Boroondara (C),16.0,16.0,1166.288604,725.218537364
Y24H5800217P01T02,Y24H5800217,Y24H5800217P01,9,555,9,564,9,0.19878,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,725.218537364
Y24H5800217P01T03,Y24H5800217,Y24H5800217P01,9,583,9,593,10,0.64967,Work,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,725.218537364
Y24H5800217P01T04,Y24H5800217,Y24H5800217P01,10,646,10,656,10,0.69197,Work,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,725.218537364
Y24H5800217P01T05,Y24H5800217,Y24H5800217P01,13,838,14,840,2,0.19881,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,725.218537364
Y24H5800217P01T06,Y24H5800217,Y24H5800217P01,14,860,14,862,2,0.1981,Work,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,725.218537364
Y24H5800217P01T07,Y24H5800217,Y24H5800217P01,18,1098,19,1150,52,14.18662,Work,Weekday,Public,4.0,Boroondara (C),16.0,16.0,1166.288604,725.218537364
Y24H5800217P02T01,Y24H5800217,Y24H5800217P02,6,413,6,419,6,0.74113,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T02,Y24H5800217,Y24H5800217P02,7,422,7,427,5,0.74113,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T03,Y24H5800217,Y24H5800217P02,7,446,7,455,9,5.35044,Work,Weekday,Private,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T04,Y24H5800217,Y24H5800217P02,13,780,13,795,15,14.27618,Work,Weekday,Public,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T05,Y24H5800217,Y24H5800217P02,14,869,14,899,30,14.27604,Work,Weekday,Public,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T06,Y24H5800217,Y24H5800217P02,15,922,15,951,29,5.35044,Work,Weekday,Private,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T07,Y24H5800217,Y24H5800217P02,16,980,16,984,4,1.24515,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T08,Y24H5800217,Y24H5800217P02,17,1030,17,1033,3,1.24518,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T09,Y24H5800217,Y24H5800217P02,18,1090,18,1095,5,0.69252,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P02T10,Y24H5800217,Y24H5800217P02,18,1120,18,1125,5,0.69243,Recreational,Weekday,Active,4.0,Boroondara (C),16.0,16.0,1166.288604,754.396411671
Y24H5800217P03T01,Y24H5800217,Y24H5800217P03,6,403,6,412,9,5.35836,Recreational,Weekday,Private,4.0,Boroondara (C),16.0,16.0,1166.288604,947.335634462
Y24H5800217P03T02,Y24H5800217,Y24H5800217P03,6,414,7,445,31,24.68501,Work,Weekday,Private,4.0,Boroondara (C),16.0,16.0,1166.288604,947.335634462
Y24H5800217P03T03,Y24H5800217,Y24H5800217P03,16,983,17,1028,45,29.76302,Work,Weekday,Private,4.0,Boroondara (C),16.0,16.0,1166.288604,947.335634462
Y24H5800217P05T01,Y24H5800217,Y24H5800217P05,8,520,9,551,31,6.56839,Education,Weekday,Public,4.0,Boroondara (C),16.0,16.0,1166.288604,1263.908281991
Y24H5800217P05T02,Y24H5800217,Y24H5800217P05,15,915,15,948,33,6.48289,Education,Weekday,Public,4.0,Boroondara (C),16.0,16.0,1166.288604,1263.908281991
Y24H5800218P01T01,Y24H5800218,Y24H5800218P01,22,1320,27,1620,300,Missing,Other,Weekday,Other,2.0,Boroondara (C),8.0,8.0,576.9453676,380.837904987
Y24H5800218P02T01,Y24H5800218,Y24H5800218P02,7,452,7,456,4,2.99958,Recreational,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,373.188517511
Y24H5800218P02T02,Y24H5800218,Y24H5800218P02,7,456,7,478,22,9.08603,Work,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,373.188517511
Y24H5800218P02T03,Y24H5800218,Y24H5800218P02,17,1055,17,1077,22,10.99842,Recreational,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,373.188517511
Y24H5800218P02T04,Y24H5800218,Y24H5800218P02,18,1083,18,1087,4,0.4862,Recreational,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,373.188517511
Y24H5800218P03T01,Y24H5800218,Y24H5800218P03,6,402,6,415,13,6.69391,Work,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,494.886866554
Y24H5800218P03T02,Y24H5800218,Y24H5800218P03,10,628,10,643,15,6.69391,Work,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,494.886866554
Y24H5800218P03T03,Y24H5800218,Y24H5800218P03,15,915,15,920,5,2.99954,Recreational,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,494.886866554
Y24H5800218P03T04,Y24H5800218,Y24H5800218P03,15,933,15,940,7,2.99958,Recreational,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,494.886866554
Y24H5800218P04T01,Y24H5800218,Y24H5800218P04,7,452,7,456,4,2.99958,Education,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,527.349269422
Y24H5800218P04T02,Y24H5800218,Y24H5800218P04,15,933,15,940,7,2.99958,Education,Weekday,Private,2.0,Boroondara (C),8.0,8.0,576.9453676,527.349269422
Y24H5800219P01T01,Y24H5800219,Y24H5800219P01,7,460,8,510,50,13.92709,Work,Weekday,Public,1.0,Boroondara (C),11.0,11.0,600.9760455,1043.012564847
Y24H5800219P01T02,Y24H5800219,Y24H5800219P01,14,885,15,943,58,13.92709,Work,Weekday,Public,1.0,Boroondara (C),11.0,11.0,600.9760455,1043.012564847
Y24H5800219P02T01,Y24H5800219,Y24H5800219P02,8,510,9,556,46,13.98818,Work,Weekday,Public,1.0,Boroondara (C),11.0,11.0,600.9760455,797.043075488
Y24H5800219P02T02,Y24H5800219,Y24H5800219P02,17,1020,17,1058,38,13.98818,Work,Weekday,Public,1.0,Boroondara (C),11.0,11.0,600.9760455,797.043075488
Y24H5800219P03T01,Y24H5800219,Y24H5800219P03,8,520,8,531,11,0.70788,Education,Weekday,Active,1.0,Boroondara (C),11.0,11.0,600.9760455,813.934071003
Y24H5800219P03T02,Y24H5800219,Y24H5800219P03,15,930,15,940,10,0.70788,Education,Weekday,Active,1.0,Boroondara (C),11.0,11.0,600.9760455,813.934071003
Y24H5800219P04T01,Y24H5800219,Y24H5800219P04,8,520,8,531,11,0.70788,Education,Weekday,Active,1.0,Boroondara (C),11.0,11.0,600.9760455,1406.040423714
Y24H5800219P04T02,Y24H5800219,Y24H5800219P04,15,930,15,940,10,0.70788,Education,Weekday,Active,1.0,Boroondara (C),11.0,11.0,600.9760455,1406.040423714
Y24H5800224P01T01,Y24H5800224,Y24H5800224P01,11,702,12,722,20,1.25304,Recreational,Weekday,Active,2.0,Whitehorse (C),11.0,11.0,894.9624903,970.575245043
Y24H5800224P01T02,Y24H5800224,Y24H5800224P01,12,770,13,786,16,1.19614,Recreational,Weekday,Active,2.0,Whitehorse (C),11.0,11.0,894.9624903,970.575245043
Y24H5800224P01T03,Y24H5800224,Y24H5800224P01,13,794,13,798,4,0.18623,Recreational,Weekday,Active,2.0,Whitehorse (C),11.0,11.0,894.9624903,970.575245043
Y24H5800224P02T01,Y24H5800224,Y24H5800224P02,11,702,12,722,20,1.25304,Recreational,Weekday,Active,2.0,Whitehorse (C),11.0,11.0,894.9624903,575.775244098
Y24H5800224P02T02,Y24H5800224,Y24H5800224P02,12,770,13,786,16,1.19614,Recreational,Weekday,Active,2.0,Whitehorse (C),11.0,11.0,894.9624903,575.775244098
Y24H5800224P02T03,Y24H5800224,Y24H5800224P02,13,794,13,798,4,0.18623,Recreational,Weekday,Active,2.0,Whitehorse (C),11.0,11.0,894.9624903,575.775244098
Y24H5800224P03T01,Y24H5800224,Y24H5800224P03,7,443,8,505,62,20.36022,Work,Weekday,Public,2.0,Whitehorse (C),11.0,11.0,894.9624903,721.156439682
Y24H5800224P03T02,Y24H5800224,Y24H5800224P03,17,1020,18,1080,60,20.36022,Work,Weekday,Public,2.0,Whitehorse (C),11.0,11.0,894.9624903,721.156439682
Y24H5800231P01T01,Y24H5800231,Y24H5800231P01,6,400,6,412,12,8.00043,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T02,Y24H5800231,Y24H5800231P01,6,413,7,425,12,8.00047,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T03,Y24H5800231,Y24H5800231P01,8,500,8,510,10,2.03742,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T04,Y24H5800231,Y24H5800231P01,8,511,8,520,9,2.03731,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T05,Y24H5800231,Y24H5800231P01,10,630,10,650,20,2.6777,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T06,Y24H5800231,Y24H5800231P01,11,675,11,680,5,3.79862,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T07,Y24H5800231,Y24H5800231P01,12,720,12,735,15,4.84407,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T08,Y24H5800231,Y24H5800231P01,15,905,15,925,20,8.00043,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P01T09,Y24H5800231,Y24H5800231P01,15,930,15,950,20,8.00047,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,2465.933721953
Y24H5800231P02T01,Y24H5800231,Y24H5800231P02,5,345,6,390,45,17.54193,Work,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,3339.85547428
Y24H5800231P02T02,Y24H5800231,Y24H5800231P02,17,1050,18,1095,45,17.54193,Work,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,3339.85547428
Y24H5800231P04T01,Y24H5800231,Y24H5800231P04,6,400,6,412,12,8.00047,Recreational,Weekday,Private,3.0,Whitehorse (C),16.0,16.0,1891.946372,1115.141118898
