tripid,hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,dayType,mainmode,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group,hhpoststratweight,trippoststratweight
Y24H5740110P01T10,Y24H5740110,Y24H5740110P01,17,1043,17,1058,15,14.41431,Recreational,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,632.860777211
Y24H5740110P01T11,Y24H5740110,Y24H5740110P01,17,1058,17,1077,19,14.41431,Recreational,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,632.860777211
Y24H5740110P01T12,Y24H5740110,Y24H5740110P01,18,1137,19,1147,10,7.57261,Work,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,632.860777211
Y24H5740110P01T13,Y24H5740110,Y24H5740110P01,19,1182,19,1191,9,7.57261,Work,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,632.860777211
Y24H5740110P03T01,Y24H5740110,Y24H5740110P03,6,395,6,405,10,9.42059,Work,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,603.756453587
Y24H5740110P03T02,Y24H5740110,Y24H5740110P03,15,909,15,920,11,9.42059,Work,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,603.756453587
Y24H5740110P03T03,Y24H5740110,Y24H5740110P03,17,1043,17,1058,15,14.41431,Recreational,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,603.756453587
Y24H5740110P03T04,Y24H5740110,Y24H5740110P03,21,1270,21,1285,15,14.41431,Recreational,Weekday,Private,1.0,Casey (C),10.0,10.0,672.6834138,603.756453587
Y24H5740111P01T01,Y24H5740111,Y24H5740111P01,9,560,9,590,30,20.87897,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,749.463904,348.746406172
Y24H5740111P01T02,Y24H5740111,Y24H5740111P01,16,995,17,1035,40,20.87897,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,749.463904,348.746406172
Y24H5740111P02T01,Y24H5740111,Y24H5740111P02,7,421,8,508,87,87.50492,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,749.463904,696.78161167
Y24H5740111P02T02,Y24H5740111,Y24H5740111P02,8,515,9,568,53,101.58203,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,749.463904,696.78161167
Y24H5740111P02T03,Y24H5740111,Y24H5740111P02,12,765,12,774,9,3.60515,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,749.463904,696.78161167
Y24H5740111P02T04,Y24H5740111,Y24H5740111P02,13,823,13,830,7,2.0542,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,749.463904,696.78161167
Y24H5740111P02T05,Y24H5740111,Y24H5740111P02,14,860,16,1010,150,192.53171,Work,Weekday,Private,2.0,Casey (C),15.0,15.0,749.463904,696.78161167
Y24H5740117P01T01,Y24H5740117,Y24H5740117P01,11,670,11,675,5,1.76765,Recreational,Weekday,Private,1.0,Casey (C),9.0,9.0,693.9525028,504.590252286
Y24H5740117P01T02,Y24H5740117,Y24H5740117P01,11,690,11,697,7,1.76765,Recreational,Weekday,Private,1.0,Casey (C),9.0,9.0,693.9525028,504.590252286
Y24H5740117P02T01,Y24H5740117,Y24H5740117P02,10,602,10,606,4,1.90357,Recreational,Weekday,Private,1.0,Casey (C),9.0,9.0,693.9525028,322.915406765
Y24H5740117P02T02,Y24H5740117,Y24H5740117P02,10,647,10,650,3,1.90357,Recreational,Weekday,Private,1.0,Casey (C),9.0,9.0,693.9525028,322.915406765
Y24H5740117P02T03,Y24H5740117,Y24H5740117P02,13,830,13,836,6,1.01838,Recreational,Weekday,Private,1.0,Casey (C),9.0,9.0,693.9525028,322.915406765
Y24H5740117P02T04,Y24H5740117,Y24H5740117P02,15,901,15,907,6,1.01838,Recreational,Weekday,Private,1.0,Casey (C),9.0,9.0,693.9525028,322.915406765
Y24H5740119P01T01,Y24H5740119,Y24H5740119P01,6,374,6,378,4,1.93417,Recreational,Weekday,Private,2.0,Casey (C),14.0,14.0,826.0206217,346.716334742
Y24H5740119P01T02,Y24H5740119,Y24H5740119P01,6,385,6,394,9,1.93417,Recreational,Weekday,Private,2.0,Casey (C),14.0,14.0,826.0206217,346.716334742
Y24H5740119P01T03,Y24H5740119,Y24H5740119P01,7,460,7,465,5,2.75583,Recreational,Weekday,Private,2.0,Casey (C),14.0,14.0,826.0206217,346.716334742
Y24H5740119P01T04,Y24H5740119,Y24H5740119P01,8,522,8,529,7,2.75583,Recreational,Weekday,Private,2.0,Casey (C),14.0,14.0,826.0206217,346.716334742
Y24H5740119P01T05,Y24H5740119,Y24H5740119P01,9,569,10,651,82,51.61251,Work,Weekday,Public,2.0,Casey (C),14.0,14.0,826.0206217,346.716334742
Y24H5740119P01T06,Y24H5740119,Y24H5740119P01,13,837,15,940,103,51.61251,Work,Weekday,Public,2.0,Casey (C),14.0,14.0,826.0206217,346.716334742
Y24H5740120P01T01,Y24H5740120,Y24H5740120P01,8,537,9,543,6,2.25009,Recreational,Weekend,Private,1.0,Casey (C),12.0,12.0,669.9867768,427.276622314
Y24H5740120P01T02,Y24H5740120,Y24H5740120P01,9,546,9,565,19,13.14107,Work,Weekend,Private,1.0,Casey (C),12.0,12.0,669.9867768,427.276622314
Y24H5740120P01T03,Y24H5740120,Y24H5740120P01,16,971,16,991,20,14.41528,Recreational,Weekend,Private,1.0,Casey (C),12.0,12.0,669.9867768,427.276622314
Y24H5740120P01T04,Y24H5740120,Y24H5740120P01,17,1044,17,1050,6,2.5879,Recreational,Weekend,Private,1.0,Casey (C),12.0,12.0,669.9867768,427.276622314
Y24H5740123P01T01,Y24H5740123,Y24H5740123P01,8,486,8,499,13,7.46789,Recreational,Weekday,Private,1.0,Casey (C),10.0,10.0,931.2339557,433.329068446
Y24H5740123P01T02,Y24H5740123,Y24H5740123P01,8,502,8,510,8,4.96878,Work,Weekday,Private,1.0,Casey (C),10.0,10.0,931.2339557,433.329068446
Y24H5740123P01T03,Y24H5740123,Y24H5740123P01,16,1019,17,1035,16,8.49841,Recreational,Weekday,Private,1.0,Casey (C),10.0,10.0,931.2339557,433.329068446
Y24H5740123P01T04,Y24H5740123,Y24H5740123P01,17,1046,17,1055,9,4.10269,Recreational,Weekday,Private,1.0,Casey (C),10.0,10.0,931.2339557,433.329068446
Y24H5740127P01T01,Y24H5740127,Y24H5740127P01,10,600,10,630,30,41.02649,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1312.668216153
Y24H5740127P01T02,Y24H5740127,Y24H5740127P01,13,780,13,810,30,41.02649,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1312.668216153
Y24H5740127P01T03,Y24H5740127,Y24H5740127P01,14,840,14,870,30,26.25296,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1312.668216153
Y24H5740127P01T04,Y24H5740127,Y24H5740127P01,18,1095,19,1140,45,36.74211,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1312.668216153
Y24H5740127P01T05,Y24H5740127,Y24H5740127P01,21,1260,21,1290,30,14.84408,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1312.668216153
Y24H5740127P02T01,Y24H5740127,Y24H5740127P02,10,630,10,635,5,2.62767,Work,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1623.453460323
Y24H5740127P02T02,Y24H5740127,Y24H5740127P02,11,690,11,695,5,2.62767,Work,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1623.453460323
Y24H5740127P02T03,Y24H5740127,Y24H5740127P02,14,840,14,870,30,26.25362,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1623.453460323
Y24H5740127P02T04,Y24H5740127,Y24H5740127P02,18,1095,19,1140,45,36.74269,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1623.453460323
Y24H5740127P02T05,Y24H5740127,Y24H5740127P02,21,1260,21,1290,30,14.84414,Recreational,Weekend,Private,2.0,Casey (C),12.0,12.0,1183.935463,1623.453460323
Y24H5740128P01T01,Y24H5740128,Y24H5740128P01,8,529,9,544,15,0.38011,Work,Weekend,Active,4.0,Casey (C),17.0,17.0,1701.328403,981.925016667
Y24H5740128P01T02,Y24H5740128,Y24H5740128P01,9,544,9,555,11,0.38011,Work,Weekend,Active,4.0,Casey (C),17.0,17.0,1701.328403,981.925016667
Y24H5740128P01T03,Y24H5740128,Y24H5740128P01,11,716,13,781,65,75.91394,Work,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,981.925016667
Y24H5740128P01T04,Y24H5740128,Y24H5740128P01,14,848,14,855,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,981.925016667
Y24H5740128P01T05,Y24H5740128,Y24H5740128P01,17,1051,17,1058,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,981.925016667
Y24H5740128P02T01,Y24H5740128,Y24H5740128P02,8,529,9,544,15,0.38011,Work,Weekend,Active,4.0,Casey (C),17.0,17.0,1701.328403,1153.554573946
Y24H5740128P02T02,Y24H5740128,Y24H5740128P02,9,544,9,555,11,0.38011,Work,Weekend,Active,4.0,Casey (C),17.0,17.0,1701.328403,1153.554573946
Y24H5740128P02T03,Y24H5740128,Y24H5740128P02,11,716,13,781,65,75.91394,Work,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1153.554573946
Y24H5740128P02T04,Y24H5740128,Y24H5740128P02,14,848,14,855,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1153.554573946
Y24H5740128P02T05,Y24H5740128,Y24H5740128P02,17,1051,17,1058,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1153.554573946
Y24H5740128P03T01,Y24H5740128,Y24H5740128P03,13,790,13,800,10,6.11384,Other,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1890.307193572
Y24H5740128P03T02,Y24H5740128,Y24H5740128P03,14,848,14,855,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1890.307193572
Y24H5740128P03T03,Y24H5740128,Y24H5740128P03,17,1051,17,1058,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1890.307193572
Y24H5740128P03T04,Y24H5740128,Y24H5740128P03,19,1140,19,1170,30,34.42431,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1890.307193572
Y24H5740128P03T05,Y24H5740128,Y24H5740128P03,20,1203,20,1233,30,32.06991,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,1890.307193572
Y24H5740128P04T01,Y24H5740128,Y24H5740128P04,14,848,14,855,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,2548.210768308
Y24H5740128P04T02,Y24H5740128,Y24H5740128P04,17,1051,17,1058,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,2548.210768308
Y24H5740128P05T01,Y24H5740128,Y24H5740128P05,14,848,14,855,7,4.65656,Recreational,Weekend,Private,4.0,Casey (C),17.0,17.0,1701.328403,2055.933027693
