tripid,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10
Y24H5740117P02T02,322.915406765,313.247231991,358.705687212,412.723910723,297.369385211,403.349637902,0.0,316.380189374,309.805746422,319.05378723,505.678244505
Y24H5740117P02T03,322.915406765,313.247231991,358.705687212,412.723910723,297.369385211,403.349637902,0.0,316.380189374,309.805746422,319.05378723,505.678244505
Y24H5740117P02T04,322.915406765,313.247231991,358.705687212,412.723910723,297.369385211,403.349637902,0.0,316.380189374,309.805746422,319.05378723,505.678244505
Y24H5740119P01T01,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407
Y24H5740119P01T02,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407
Y24H5740119P01T03,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407
Y24H5740119P01T04,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407
Y24H5740119P01T05,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407
Y24H5740119P01T06,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407
Y24H5740120P01T01,427.276622314,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081
Y24H5740120P01T02,427.276622314,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081
Y24H5740120P01T03,427.276622314,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081
Y24H5740120P01T04,427.276622314,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081
Y24H5740123P01T01,433.329068446,450.577184901,510.804117327,509.524123004,356.312179475,502.843041654,575.243696807,446.042182897,410.030814183,447.05143559,0.0
Y24H5740123P01T02,433.329068446,450.577184901,510.804117327,509.524123004,356.312179475,502.843041654,575.243696807,446.042182897,410.030814183,447.05143559,0.0
Y24H5740123P01T03,433.329068446,450.577184901,510.804117327,509.524123004,356.312179475,502.843041654,575.243696807,446.042182897,410.030814183,447.05143559,0.0
Y24H5740123P01T04,433.329068446,450.577184901,510.804117327,509.524123004,356.312179475,502.843041654,575.243696807,446.042182897,410.030814183,447.05143559,0.0
Y24H5740127P01T01,1312.668216153,1175.901652246,1673.52494352,1846.9447858,1476.900156278,1585.633771098,1563.953378799,1321.786126159,1213.47129178,1303.12987147,0.0
Y24H5740127P01T02,1312.668216153,1175.901652246,1673.52494352,1846.9447858,1476.900156278,1585.633771098,1563.953378799,1321.786126159,1213.47129178,1303.12987147,0.0
Y24H5740127P01T03,1312.668216153,1175.901652246,1673.52494352,1846.9447858,1476.900156278,1585.633771098,1563.953378799,1321.786126159,1213.47129178,1303.12987147,0.0
Y24H5740127P01T04,1312.668216153,1175.901652246,1673.52494352,1846.9447858,1476.900156278,1585.633771098,1563.953378799,1321.786126159,1213.47129178,1303.12987147,0.0
Y24H5740127P01T05,1312.668216153,1175.901652246,1673.52494352,1846.9447858,1476.900156278,1585.633771098,1563.953378799,1321.786126159,1213.47129178,1303.12987147,0.0
Y24H5740127P02T01,1623.453460323,1635.904856031,1892.837734631,2320.38690079,1813.124161356,1816.736372415,1712.623816946,1631.906017323,1513.872744,1543.517424686,0.0
Y24H5740127P02T02,1623.453460323,1635.904856031,1892.837734631,2320.38690079,1813.124161356,1816.736372415,1712.623816946,1631.906017323,1513.872744,1543.517424686,0.0
Y24H5740127P02T03,1623.453460323,1635.904856031,1892.837734631,2320.38690079,1813.124161356,1816.736372415,1712.623816946,1631.906017323,1513.872744,1543.517424686,0.0
Y24H5740127P02T04,1623.453460323,1635.904856031,1892.837734631,2320.38690079,1813.124161356,1816.736372415,1712.623816946,1631.906017323,1513.872744,1543.517424686,0.0
Y24H5740127P02T05,1623.453460323,1635.904856031,1892.837734631,2320.38690079,1813.124161356,1816.736372415,1712.623816946,1631.906017323,1513.872744,1543.517424686,0.0
Y24H5740128P01T01,981.925016667,952.208372714,1167.820130661,1314.410494228,797.127053574,1345.029317838,1013.774596717,966.329437219,1053.723383547,1033.949921534,0.0
