hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6146215,Y24H6146215P01,16,1010,16,1015,5.0,0.44529,Work,34.210892799,Weekday,Active,1.0,City,52.57406948,13,13
Y24H6146215,Y24H6146215P02,7,434,7,468,34.0,2.42356,Recreational,41.832155089,Weekday,Active,1.0,City,52.57406948,13,13
Y24H6146215,Y24H6146215P02,7,468,8,502,34.0,2.42356,Recreational,41.832155089,Weekday,Active,1.0,City,52.57406948,13,13
Y24H6146223,Y24H6146223P01,6,380,6,385,5.0,0.30736,Work,65.904057738,Weekday,Active,1.0,City,103.3895073,13,13
Y24H6146223,Y24H6146223P01,11,680,11,685,5.0,0.30736,Work,65.904057738,Weekday,Active,1.0,City,103.3895073,13,13
Y24H6146223,Y24H6146223P01,12,720,12,725,5.0,0.30736,Work,65.904057738,Weekday,Active,1.0,City,103.3895073,13,13
Y24H6146223,Y24H6146223P01,14,870,14,875,5.0,0.30736,Work,65.904057738,Weekday,Active,1.0,City,103.3895073,13,13
Y24H6146225,Y24H6146225P01,8,480,8,500,20.0,1.94164,Work,81.986627289,Weekday,Active,2.0,City,131.5612648,16,16
Y24H6146225,Y24H6146225P01,17,1020,17,1040,20.0,1.94173,Work,81.986627289,Weekday,Active,2.0,City,131.5612648,16,16
Y24H6146225,Y24H6146225P02,8,480,8,500,20.0,1.94173,Work,111.019293855,Weekday,Active,2.0,City,131.5612648,16,16
Y24H6146225,Y24H6146225P02,17,1020,17,1040,20.0,1.94173,Work,111.019293855,Weekday,Active,2.0,City,131.5612648,16,16
Y24H6150108,Y24H6150108P01,5,330,5,340,10.0,0.59728,Work,1559.653709654,Weekday,Active,2.0,City,1049.794665,8,8
Y24H6150108,Y24H6150108P01,5,340,5,350,10.0,0.59728,Work,1559.653709654,Weekday,Active,2.0,City,1049.794665,8,8
Y24H6150139,Y24H6150139P01,13,788,13,806,18.0,0.6645,Recreational,253.593176218,Weekday,Active,2.0,City,378.4234258,6,6
Y24H6150139,Y24H6150139P01,13,806,13,819,13.0,0.66442,Recreational,253.593176218,Weekday,Active,2.0,City,378.4234258,6,6
Y24H6150139,Y24H6150139P02,13,788,13,806,18.0,0.66442,Recreational,336.982983367,Weekday,Active,2.0,City,378.4234258,6,6
Y24H6150139,Y24H6150139P02,13,806,13,819,13.0,0.66442,Recreational,336.982983367,Weekday,Active,2.0,City,378.4234258,6,6
Y24H6150140,Y24H6150140P01,9,542,9,549,7.0,0.42093,Recreational,432.82034985,Weekday,Active,2.0,City,404.2957303,11,11
Y24H6150140,Y24H6150140P01,9,549,9,556,7.0,0.42093,Recreational,432.82034985,Weekday,Active,2.0,City,404.2957303,11,11
Y24H6150302,Y24H6150302P01,7,475,8,493,18.0,4.863,Work,663.826211639,Weekday,Active,0.0,City,883.2439862,12,12
Y24H6150302,Y24H6150302P01,16,1013,17,1021,8.0,2.14974,Recreational,663.826211639,Weekday,Active,0.0,City,883.2439862,12,12
Y24H6150302,Y24H6150302P01,19,1152,19,1167,15.0,5.54532,Recreational,663.826211639,Weekday,Active,0.0,City,883.2439862,12,12
Y24H6150307,Y24H6150307P02,12,777,13,780,3.0,0.3483,Recreational,1257.870412185,Weekend,Active,2.0,City,1015.83809,18,18
Y24H6150307,Y24H6150307P02,14,890,14,899,9.0,0.7801,Recreational,1257.870412185,Weekend,Active,2.0,City,1015.83809,18,18
Y24H6150307,Y24H6150307P02,15,949,15,959,10.0,0.78015,Recreational,1257.870412185,Weekend,Active,2.0,City,1015.83809,18,18
Y24H6150307,Y24H6150307P03,12,777,13,780,3.0,0.3483,Recreational,982.867008404,Weekend,Active,2.0,City,1015.83809,18,18
Y24H6150316,Y24H6150316P01,9,540,9,560,20.0,0.5261,Work,418.416020826,Weekday,Active,2.0,City,1077.026924,17,17
Y24H6150316,Y24H6150316P01,9,560,9,580,20.0,0.5261,Work,418.416020826,Weekday,Active,2.0,City,1077.026924,17,17
Y24H6150316,Y24H6150316P01,13,806,13,832,26.0,1.53997,Recreational,418.416020826,Weekday,Active,2.0,City,1077.026924,17,17
Y24H6150316,Y24H6150316P01,13,832,14,854,22.0,1.53997,Recreational,418.416020826,Weekday,Active,2.0,City,1077.026924,17,17
Y24H6150322,Y24H6150322P01,9,570,9,585,15.0,0.51151,Recreational,1119.739060703,Weekday,Active,1.0,City,534.7595072,14,14
Y24H6150322,Y24H6150322P01,10,650,11,662,12.0,0.51151,Recreational,1119.739060703,Weekday,Active,1.0,City,534.7595072,14,14
Y24H6150322,Y24H6150322P03,9,570,9,585,15.0,0.51151,Recreational,561.119136463,Weekday,Active,1.0,City,534.7595072,14,14
Y24H6150322,Y24H6150322P03,10,650,11,662,12.0,0.51151,Recreational,561.119136463,Weekday,Active,1.0,City,534.7595072,14,14
Y24H6150334,Y24H6150334P01,15,900,16,960,60.0,3.97533,Recreational,542.6905924,Weekend,Active,1.0,City,925.4382659,12,12
Y24H6150336,Y24H6150336P04,13,810,13,825,15.0,0.83334,Work,1028.224560562,Weekday,Active,1.0,City,557.5691643,17,17
Y24H6150336,Y24H6150336P04,19,1140,19,1155,15.0,0.58338,Recreational,1028.224560562,Weekday,Active,1.0,City,557.5691643,17,17
Y24H6150336,Y24H6150336P04,19,1170,19,1185,15.0,0.58331,Recreational,1028.224560562,Weekday,Active,1.0,City,557.5691643,17,17
Y24H6150503,Y24H6150503P03,8,510,8,525,15.0,1.0169,Education,908.026094131,Weekday,Active,3.0,City,707.6614459,10,10
Y24H6150503,Y24H6150503P03,15,910,15,925,15.0,1.0169,Education,908.026094131,Weekday,Active,3.0,City,707.6614459,10,10
Y24H6150539,Y24H6150539P01,12,775,12,777,2.0,0.29758,Recreational,339.240283767,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P01,13,810,13,812,2.0,0.29758,Work,339.240283767,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P02,11,680,11,681,1.0,0.06273,Recreational,372.909187344,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P02,11,695,11,700,5.0,0.20479,Recreational,372.909187344,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P02,12,720,12,740,20.0,0.85664,Recreational,372.909187344,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P02,13,780,13,787,7.0,0.21784,Work,372.909187344,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P04,11,680,11,681,1.0,0.06273,Recreational,731.026839488,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P04,11,695,11,700,5.0,0.20479,Recreational,731.026839488,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P04,12,720,12,740,20.0,0.85664,Recreational,731.026839488,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6150539,Y24H6150539P04,13,780,13,787,7.0,0.21784,Recreational,731.026839488,Weekday,Active,1.0,City,441.4183672,11,11
Y24H6156106,Y24H6156106P01,15,901,15,904,3.0,0.18141,Recreational,136.021083469,Weekend,Active,0.0,Shire,201.0550791,12,12
Y24H6156106,Y24H6156106P01,15,922,15,929,7.0,0.16253,Recreational,136.021083469,Weekend,Active,0.0,Shire,201.0550791,12,12
Y24H6156106,Y24H6156106P01,15,937,15,944,7.0,0.3419,Other,136.021083469,Weekend,Active,0.0,Shire,201.0550791,12,12
Y24H6156106,Y24H6156106P01,15,953,15,957,4.0,0.63591,Recreational,136.021083469,Weekend,Active,0.0,Shire,201.0550791,12,12
Y24H6156106,Y24H6156106P01,16,977,16,981,4.0,0.63591,Recreational,136.021083469,Weekend,Active,0.0,Shire,201.0550791,12,12
Y24H6156136,Y24H6156136P02,11,674,11,675,1.0,0.08701,Recreational,240.929691021,Weekday,Active,2.0,Shire,270.84712,4,4
Y24H6156136,Y24H6156136P02,11,700,11,701,1.0,Missing,Recreational,240.929691021,Weekday,Active,2.0,Shire,270.84712,4,4
Y24H6156136,Y24H6156136P02,15,946,15,947,1.0,0.03895,Recreational,240.929691021,Weekday,Active,2.0,Shire,270.84712,4,4
Y24H6156136,Y24H6156136P03,15,946,15,947,1.0,0.03895,Recreational,252.309457576,Weekday,Active,2.0,Shire,270.84712,4,4
Y24H6156201,Y24H6156201P02,15,910,15,933,23.0,1.16312,Education,139.7111593,Weekday,Active,1.0,City,80.21261574,6,6
