hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5740111,Y24H5740111P01,16,995,17,1035,40.0,20.87897,Work,348.746406172,Weekday,Private,2.0,City,749.463904,15,15
Y24H5740111,Y24H5740111P02,7,421,8,508,87.0,87.50492,Recreational,696.78161167,Weekday,Private,2.0,City,749.463904,15,15
Y24H5740111,Y24H5740111P02,8,515,9,568,53.0,101.58203,Work,696.78161167,Weekday,Private,2.0,City,749.463904,15,15
Y24H5740111,Y24H5740111P02,12,765,12,774,9.0,3.60515,Work,696.78161167,Weekday,Private,2.0,City,749.463904,15,15
Y24H5740111,Y24H5740111P02,13,823,13,830,7.0,2.0542,Work,696.78161167,Weekday,Private,2.0,City,749.463904,15,15
Y24H5740111,Y24H5740111P02,14,860,16,1010,150.0,192.53171,Work,696.78161167,Weekday,Private,2.0,City,749.463904,15,15
Y24H5740117,Y24H5740117P01,11,670,11,675,5.0,1.76765,Recreational,504.590252286,Weekday,Private,1.0,City,693.9525028,9,9
Y24H5740117,Y24H5740117P01,11,690,11,697,7.0,1.76765,Recreational,504.590252286,Weekday,Private,1.0,City,693.9525028,9,9
Y24H5740117,Y24H5740117P02,10,602,10,606,4.0,1.90357,Recreational,322.915406765,Weekday,Private,1.0,City,693.9525028,9,9
Y24H5740117,Y24H5740117P02,10,647,10,650,3.0,1.90357,Recreational,322.915406765,Weekday,Private,1.0,City,693.9525028,9,9
Y24H5740117,Y24H5740117P02,13,830,13,836,6.0,1.01838,Recreational,322.915406765,Weekday,Private,1.0,City,693.9525028,9,9
Y24H5740117,Y24H5740117P02,15,901,15,907,6.0,1.01838,Recreational,322.915406765,Weekday,Private,1.0,City,693.9525028,9,9
Y24H5740119,Y24H5740119P01,6,374,6,378,4.0,1.93417,Recreational,346.716334742,Weekday,Private,2.0,City,826.0206217,14,14
Y24H5740119,Y24H5740119P01,6,385,6,394,9.0,1.93417,Recreational,346.716334742,Weekday,Private,2.0,City,826.0206217,14,14
Y24H5740119,Y24H5740119P01,7,460,7,465,5.0,2.75583,Recreational,346.716334742,Weekday,Private,2.0,City,826.0206217,14,14
Y24H5740119,Y24H5740119P01,8,522,8,529,7.0,2.75583,Recreational,346.716334742,Weekday,Private,2.0,City,826.0206217,14,14
Y24H5740119,Y24H5740119P01,9,569,10,651,82.0,51.61251,Work,346.716334742,Weekday,Public,2.0,City,826.0206217,14,14
Y24H5740119,Y24H5740119P01,13,837,15,940,103.0,51.61251,Work,346.716334742,Weekday,Public,2.0,City,826.0206217,14,14
Y24H5740120,Y24H5740120P01,8,537,9,543,6.0,2.25009,Recreational,427.276622314,Weekend,Private,1.0,City,669.9867768,12,12
Y24H5740120,Y24H5740120P01,9,546,9,565,19.0,13.14107,Work,427.276622314,Weekend,Private,1.0,City,669.9867768,12,12
Y24H5740120,Y24H5740120P01,16,971,16,991,20.0,14.41528,Recreational,427.276622314,Weekend,Private,1.0,City,669.9867768,12,12
Y24H5740120,Y24H5740120P01,17,1044,17,1050,6.0,2.5879,Recreational,427.276622314,Weekend,Private,1.0,City,669.9867768,12,12
Y24H5740123,Y24H5740123P01,8,486,8,499,13.0,7.46789,Recreational,433.329068446,Weekday,Private,1.0,City,931.2339557,10,10
Y24H5740123,Y24H5740123P01,8,502,8,510,8.0,4.96878,Work,433.329068446,Weekday,Private,1.0,City,931.2339557,10,10
Y24H5740123,Y24H5740123P01,16,1019,17,1035,16.0,8.49841,Recreational,433.329068446,Weekday,Private,1.0,City,931.2339557,10,10
Y24H5740123,Y24H5740123P01,17,1046,17,1055,9.0,4.10269,Recreational,433.329068446,Weekday,Private,1.0,City,931.2339557,10,10
Y24H5740127,Y24H5740127P01,10,600,10,630,30.0,41.02649,Recreational,1312.668216153,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P01,13,780,13,810,30.0,41.02649,Recreational,1312.668216153,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P01,14,840,14,870,30.0,26.25296,Recreational,1312.668216153,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P01,18,1095,19,1140,45.0,36.74211,Recreational,1312.668216153,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P01,21,1260,21,1290,30.0,14.84408,Recreational,1312.668216153,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P02,10,630,10,635,5.0,2.62767,Work,1623.453460323,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P02,11,690,11,695,5.0,2.62767,Work,1623.453460323,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P02,14,840,14,870,30.0,26.25362,Recreational,1623.453460323,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P02,18,1095,19,1140,45.0,36.74269,Recreational,1623.453460323,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740127,Y24H5740127P02,21,1260,21,1290,30.0,14.84414,Recreational,1623.453460323,Weekend,Private,2.0,City,1183.935463,12,12
Y24H5740128,Y24H5740128P01,8,529,9,544,15.0,0.38011,Work,981.925016667,Weekend,Active,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P01,9,544,9,555,11.0,0.38011,Work,981.925016667,Weekend,Active,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P01,11,716,13,781,65.0,75.91394,Work,981.925016667,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P01,14,848,14,855,7.0,4.65656,Recreational,981.925016667,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P01,17,1051,17,1058,7.0,4.65656,Recreational,981.925016667,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P02,8,529,9,544,15.0,0.38011,Work,1153.554573946,Weekend,Active,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P02,9,544,9,555,11.0,0.38011,Work,1153.554573946,Weekend,Active,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P02,11,716,13,781,65.0,75.91394,Work,1153.554573946,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P02,14,848,14,855,7.0,4.65656,Recreational,1153.554573946,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P02,17,1051,17,1058,7.0,4.65656,Recreational,1153.554573946,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P03,13,790,13,800,10.0,6.11384,Other,1890.307193572,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P03,14,848,14,855,7.0,4.65656,Recreational,1890.307193572,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P03,17,1051,17,1058,7.0,4.65656,Recreational,1890.307193572,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P03,19,1140,19,1170,30.0,34.42431,Recreational,1890.307193572,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P03,20,1203,20,1233,30.0,32.06991,Recreational,1890.307193572,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P04,14,848,14,855,7.0,4.65656,Recreational,2548.210768308,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P04,17,1051,17,1058,7.0,4.65656,Recreational,2548.210768308,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P05,14,848,14,855,7.0,4.65656,Recreational,2055.933027693,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740128,Y24H5740128P05,17,1051,17,1058,7.0,4.65656,Recreational,2055.933027693,Weekend,Private,4.0,City,1701.328403,17,17
Y24H5740129,Y24H5740129P03,8,491,8,532,41.0,42.83731,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,9,568,9,586,18.0,15.97077,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,10,619,10,631,12.0,7.65133,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,10,642,10,656,14.0,7.81032,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,11,671,11,684,13.0,7.12071,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,11,702,11,703,1.0,1.30458,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,11,713,12,734,21.0,11.22358,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,12,759,12,772,13.0,10.78356,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,13,785,13,807,22.0,20.3206,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,18,1100,18,1111,11.0,8.61913,Work,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,19,1164,19,1173,9.0,4.45987,Recreational,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740129,Y24H5740129P03,19,1177,19,1183,6.0,4.56295,Recreational,734.497298419,Weekday,Private,3.0,City,943.6600754,13,13
Y24H5740131,Y24H5740131P01,18,1095,19,1185,90.0,80.73453,Work,833.181207918,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P01,21,1310,22,1320,10.0,1.48545,Work,833.181207918,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P02,6,410,7,420,10.0,1.48545,Recreational,946.335436235,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P02,7,420,8,480,60.0,20.43636,Work,946.335436235,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P02,16,1005,17,1035,30.0,20.17096,Recreational,946.335436235,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P02,17,1050,17,1055,5.0,0.67853,Recreational,946.335436235,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P02,17,1060,18,1110,50.0,54.51804,Recreational,946.335436235,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P02,21,1305,22,1350,45.0,54.51804,Recreational,946.335436235,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P03,7,440,8,490,50.0,24.92903,Education,746.800491716,Weekday,Public,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P03,15,945,16,995,50.0,24.92904,Education,746.800491716,Weekday,Public,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P04,6,410,7,420,10.0,1.48545,Education,1315.567514218,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P04,15,900,15,940,40.0,1.48545,Education,1315.567514218,Weekday,Active,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P04,17,1060,18,1110,50.0,54.51804,Recreational,1315.567514218,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740131,Y24H5740131P04,21,1305,22,1350,45.0,54.51804,Recreational,1315.567514218,Weekday,Private,2.0,City,1090.796564,15,15
Y24H5740135,Y24H5740135P01,8,510,8,516,6.0,3.92445,Recreational,1716.889554007,Weekend,Private,2.0,City,1189.321781,17,17
Y24H5740135,Y24H5740135P01,10,636,10,642,6.0,3.92445,Recreational,1716.889554007,Weekend,Private,2.0,City,1189.321781,17,17
