hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5940112,Y24H5940112P02,10,610,10,630,20,3.7108,Recreational,993.203235409,Weekday,Private,2.0,City,880.8727917,11,11
Y24H6140522,Y24H6140522P03,14,865,15,920,55,25.45412,Work,704.878739477,Weekday,Public,1.0,City,424.8772601,10,10
Y24H5950241,Y24H5950241P03,16,990,16,1000,10,3.30536,Recreational,616.970862219,Weekend,Private,2.0,City,665.4648381,12,12
Y24H5890312,Y24H5890312P04,12,750,12,762,12,4.83789,Education,1244.21238329,Weekday,Public,0.0,City,1281.805485,12,12
Y24H6190322,Y24H6190322P01,15,943,15,948,5,0.42614,Recreational,454.795523828,Weekday,Active,1.0,City,485.1549123,5,5
Y24H6170308,Y24H6170308P05,20,1204,20,1215,11,5.27365,Recreational,1405.682562572,Weekday,Private,2.0,City,471.9342759,17,17
Y24H5920436,Y24H5920436P03,12,742,12,761,19,11.6686,Recreational,918.708531205,Weekday,Private,1.0,City,1165.091646,13,13
Y24H5830135,Y24H5830135P02,13,810,13,830,20,11.60728,Recreational,753.211239509,Weekend,Private,2.0,City,594.2762464,17,17
Y24H6160422,Y24H6160422P02,8,515,8,517,2,0.6163,Recreational,431.102429585,Weekday,Private,1.0,City,418.8427406,9,9
Y24H6180104,Y24H6180104P03,21,1260,21,1265,5,5.2672,Recreational,850.123873857,Weekday,Private,4.0,City,858.9938432,13,13
Y24H5860319,Y24H5860319P01,7,420,8,485,65,15.96807,Recreational,494.503980648,Weekday,Public,2.0,City,636.0527999,15,15
Y24H6150524,Y24H6150524P02,7,463,8,511,48,33.72876,Recreational,768.541269056,Weekday,Private,2.0,City,584.4597094,8,8
Y24H5840328,Y24H5840328P01,15,930,16,965,35,34.4614,Recreational,574.050085661,Weekend,Private,1.0,City,522.0006639,17,17
Y24H5840503,Y24H5840503P01,6,391,6,399,8,4.2911,Recreational,1154.176965162,Weekday,Private,3.0,Shire,812.5996079,12,12
Y24H6130313,Y24H6130313P02,9,540,9,552,12,2.92995,Recreational,647.882906535,Weekend,Private,1.0,City,773.9147492,14,14
Y24H6146210,Y24H6146210P02,9,570,9,585,15,6.70614,Recreational,69.481823366,Weekday,Private,2.0,City,78.53969182,7,7
Y24H6146206,Y24H6146206P01,9,577,9,582,5,2.42128,Recreational,51.18560723,Weekend,Private,2.0,City,80.29937603,6,6
Y24H6116109,Y24H6116109P02,12,735,12,740,5,1.39436,Recreational,187.305869135,Weekday,Private,2.0,Shire,134.3448469,11,11
Y24H6150307,Y24H6150307P02,14,852,14,860,8,2.00065,Recreational,1257.870412185,Weekend,Private,2.0,City,1015.83809,18,18
Y24H6156234,Y24H6156234P01,21,1290,21,1300,10,5.07875,Recreational,108.118220805,Weekend,Private,1.0,City,102.8832643,10,10
Y24H5990240,Y24H5990240P04,14,867,14,894,27,18.23014,Recreational,645.129617738,Weekday,Private,3.0,Shire,543.9235036,13,13
Y24H5930509,Y24H5930509P01,8,500,8,510,10,0.91227,Recreational,395.175384003,Weekday,Active,1.0,City,308.3744514,11,11
Y24H5990219,Y24H5990219P02,8,495,9,560,65,54.19557,Recreational,465.961873989,Weekday,Private,2.0,Shire,584.9372845,17,17
